;Review
820;What a delight- blown away- charming in every area
821;We were there to celebrate my partner's birthday and went for lunch, choosing the set menu.  We love a restaurant with something a bit different, such as a historic building or a history to the restaurant itself , so Wiltons seemed to fit the bill.The greeting staff took us straight to our table and were very welcoming. Service was carried out with immaculate timing, but without being intrusive or overbearing and all made us feel comfortable.  We both had roast beef which was perfect and the accompaniments were all well cooked and very hot.The only criticism is that the wine is on the pricey side.Otherwise everything on the set menu is extremely good quality and value for money and service is excellent.A real British classic.
822;Wilton's was the perfect place for a leisurely lunch to celebrate a friend's birthday.  The food was classic and beautifully cooked.  Service excellent.  Slightly disappointed with the wine - we chose a chablis and it wasn't the best example of it's kind for the price bracket.  I would return nevertheless.
823;We loved this restaurant and will be back! Traditional but not stuffy, it has a certain elegance, much nicer than newer, 'trendy' restaurants. Lovely bar and restaurant area, excellent service, DELICIOUS food.... really gorgeous. Highly recommended!
824;One could not ask for a more pleasant evening than dinner at Wilton's. If there's a nitpick, it's the uniforms worn by some of the ladies who serve. The uniforms remind us of those worn by nurses in a hospital. Perhaps they could find a more uplifting color combination. Each time the lady came to serve us, we had an expectation of a medical procedure.  That is an observation, not a criticism. Even so, Wilton's is eminently worthy. Don't miss it.
825;I've come here many times over the years and it is always wonderful.An institution that manages to stay fresh and new and still stay the same.The service is amazingly friendly and charming. What a special place!
826;This is undiluted, traditional pleasure. Everything top notch and service discreet.
827;What makes this place exceptional  is the service.  Top notch with food to match.
828;We had three courses and enjoyed them all. My only comment on the the food was a slightly cold inside to the Bread and Butter pudding dessert, which was unfortunate given the rest of the meal. The ambiance was somewhat subdued although I would recommend this restaurant again.
829;My husband and I dined at Wiltons for the first time last weekend. We chose it because of the favourable reviews and were not disappointed. The moment we entered we knew we were in for a memorable evening. The ambience was intimate , even though there were groups of 8+ . The staff were attentive without being over bearing, and the food was outstanding. The carvery of the day-Beef Wellington melted in the mouth, and my dessert-chocolate fondant with honeycomb and ginger ice cream was the best I have ever eaten. We would recommend Wiltons without reservation, and will definitely be returning customers!
830;Looking for something traditionally British this is one choice. The decor and service are mid-century throw backs. Food was plentiful and prepared well. Service was timely and friendly without being in your business. I still can't figure out how they knew it was my birthday. They presented a birthday greeting dessert plate to my sister so someone must have overheard us but weren't sure which of is was celebrating. It was a sweet touch. 
831;We made a late notice booking for a Saturday evening table for 2 at the Wiltons.  Despite booking over the internet only 30 minutes before arrival, we were made to feel as if we were old regulars.  The menu was extensive and we found no difficulty with choice, in fact our only challenge was we both wanted to try most dishes.  I opted for the Beef Wellington special of the day, my partner Steak.  Both dishes, in fact all 3 courses, the wine and champagne and brandy were delicious.  I have been lucky to have eaten in many of the worlds very best restaurants , without a shadow of doubt Wiltons goes straight into the top 10.  Absolutely amazing food and service.  Thank you so much, looking forward to a return in the very near future!!!
832;The food is amazing and the staff were very attentive.  It felt a little like an old boys club, so maybe not suitable for a romantic dinner. But great for a business lunch.
833;Whenever I go to Wiltons, whether alone, with my wife or with a party, the food and service are always top class.  The relaxed, friendly and professional service clearly result from a long tradition of providing good food at a good venue.
834;Great food and outstanding service in comfortable setting.
835;A wonderful meal. We really enjoyed every aspect of Wilton. It will become a favourite for business lunches and date night. 
836;This was our first visit to Wiltons and we weren't disappointed. The service was good (even though we started off with the wrong menu!) and the food was very tasty. We had the set menu which gave a good choice and both of the mains - lemon sole and steak were cooked perfectly. A good location and nice restaurant. The only issue was that everyone was put at tables at the back of restaurant - not sure why???
837;"The whole experience is unique, very olde worlde charm, the service is impeccable. We've made an error of judgement and ordered off the set menu, so £38 pp turned into £95 pp. Seafood dishes were superb in quality and even in quantity. However, the sirloin steak was a little on the dry side, albeit cooked to spec and malleable.  Desserts were sensational. Cheese plate was ample and varied, chocolate, caramel and peanut crunch thing stunned us both. In terms of lessons learnt - stick to the seafood and fish dishes, don't stray from the set menu and beware the wine list! Oh, and if the charming waiter suggests you ""try the gull egg, it goes very well with your cocktail"", it's not gratis. These babies are £8 each."
838;I wasn't sure Wiltons would be my style but I was totally wrong. The seating is fantastic with plenty of space between tables making conversation easy. The staff were exceptional and the food / wine, delicious. It was also amazingly good value with the set menu. Will definitely go again
839;The staff were friendly and helpful. We had the Seasonal Menu which was well-cooked, attractively presented and good value. Although we only had tap water to drink, the staff ensured our glasses were kept full. A very satisfactory experience.
840;I have eaten at Wiltons numerous times over the years, even though I live in the US.It you want great food and service don't miss the opportunity .
841;This was our second visit to Wilton. I chose the restaurant specially after a very enjoyable first visit over a year ago. The welcome to Wilton's is friendly and efficient.Ambience for a non English person is everything you expect from an old well established London restaurant.My oysters as a starter were delicious and I was happy I chose them again on my second visit.  The food was truly enjoyable although to our disappointment the carvery trolley had been popular and the meat from it had run out. The deserts were fantastic and for some reason surprised us all.  Next time might just go and eat the desert menu from beginning to the end. Please go and enjoy a truly English restaurant.
842;"I went there with my friend from Canada since he wanted to try some British cuisine.  The staffs in Wiltons were extremely welcoming and professional. The food were AMAZING! Highly recommend the oyster selection, which were truly fresh; and the broccoli soup, the plating was so delicate. Seasonal menus are worth trying out. Overall, very memorable dining experience."
843;We had the OpenTable menu, which was good except that the trout was way overcooked and totally dry. Interesting, historic atmosphere of old fashioned service from years gone made up for it.
844;Atmosphere like an English club--very traditional food, service, menu. We liked it very much.
845;Great service...great institution, but getting a bit expensive.
846;I booked here for my wife's birthday, and requested a quiet romantic table. On arrival we were led to a lovely booth in the corner, which was perfect, as some of the tables in were quite close to each other. We had the toptable set menu, and it had enough choic for us, both the salad and the smoked salmon were excellent, and we both went for the sole as our main course. My wife does not eat mussels, and they made sure one came with, and one without. Sauce was superb, and really made this dish, and the accompanying carrots were cooked to perfection. We shared a crumble for dessert, and it was good, though the charges of 2.50 for a small scoop of icecream seemed a little cheeky. Would certainly go again, as service was excellent throughout.
847;Very attentive staff but the waitresses looked more like nurses.  There should be a style overhaul of their uniforms.The oysters were excellent but the cost of our main course was excessive, £45 for a small piece of Halibut and in excess of £30 for the Sole.  There did seem to be a lot of salt used in all dishes.  However, the vegetable we're cooked perfectly, particularly the asparagus, with just the right amount of crispness.Overall I would not visit this restaurant again as I think that there are far better restaurants in London charging half the price.
848;very classic venue with traditional yet elegant interior decor, the staff are very polite and attentive, everyone greet us along the way from the entrance to our table, the pre-theater menu is great value for first time visit, food portion is decent and taste great, will definitely recommend and visit again.  
849;"We return to Wilton""s every time we are in London.  The food is absolutely superb, and the service is every bit as good as the food, if not even better.  You cannot find a better place for dinner."
850;Classy outfit.
851;Always the best for oyster and caviar
852;Wiltons has been arround for ever and everytime I visit I am delighted with the experience. It is what I call a banker it never lets you down old fashioned good food, excellent service and a great evening. 
853;We had a wonderful evening. The staff were attentive without being all over you. They were charming and the food was fantastic. They accommodated my diary intolerance friend without fuss or bother.I would highly recommend this venue
854;We went for dinner for an anniversary and the restaurant had a lovely ambience and atmosphere. The staff were great - attentive and friendly. The place had a wonderful old world charm and the price was reasonable with the set menu. I would say that my plaice was a little on the oily side with the butter sauce being a little overwhelming and the pork roast was nice but maybe lacking a few vegetables on the side. Entrees and dessert were lovely and I would definitely go back for special occasions.
855;The whole place was fantastic the moment we walked in. The service was very attentive and we had the best fresh oysters we ever had. Could not fault the place.
856;I went with a mentor to Wiltons and had some turbot which was deliciously meaty.
857;Lovely special birthday dinner thanks to Wiltons. I treated my Partner but he wanted to show me haute British cuisine (I'm American and typically grumble about classic fare). I couldn't have been more wrong. Lovely food (dover sole), top level service and relaxed atmosphere. Highly recommend for special evenings.
858;Excellant service & excellant foodGood comprehensive menu provided in wonderful surroundings, will defiently return.Ideal for special occassions or just a personal indulgence.
859;Took a colleague for lunch. Lovely ambience with great and unobtrusive service. Had the special offer menu - the sole veronique was particularly delicious. Will certainly go again.
860;The service and attention to detail was good. The oysters were one of the best I've had. The table felt slightly isolated but I guess you can't have everthing. Yes will definitely recommend and visit again.
861;Had a lovely meal here on Saturday night. From the moment you arrive to the time you leave you are looked after extremely well. The service, cleanliness and food were all top notch. Highly recommended.
862;I chose Wiltons to belatedly celebrate my birthday during our weekend trip to London, and was not disappointed in any aspect of the evening. The combination of great ambience, food and service contributed to the best fine dining experience we have had for a long time. The scallop appetiser was delicious (I had to restrain myself from licking the dish)! The lobster was also amazing. No room for dessert. My husband had the set menu and enjoyed it thoroughly, although he didn't choose the seafood option. His cheese board included two lovely cheeses, and the staff kindly provided us with the names and where we could possibly buy them. We thoroughly recommend Wiltons for the high quality of service (not intrusive and well-timed) and divine food!
863;We arrived and despite having thought I'd booked a special deal, they provided us with two bellinis anyway. The service was impeccable, amusing but discreet. The food was excellent, especially the vegetables. The ambience meant that you could hear each other talk, which is a pleasant change. All in all a great night - perfect restaurant for a special occasion.Thank you
864;As always Wiltons provided superb food and service.
865;Great service. Very classic ambience.
866;we could receive fine foods and splendid hospitality at wiltons. So I fully recommend to business occasion and special purpose, in Japanese perspective. Because this restaurant is very traditional and not noisy, and there is proper space from next table.
867;Ambiance and dinner is good but price is a little high
868;A Jermyn Street stalwart but let's not forget how welcome it is to have good service, a restrained atmosphere, comfortable surrounds and a quality experience where you feel looked after. A welcome break from all that goes on outside. The perfect place for the right occasion.
869;We found the tables to be too close together. As a result my wife and I were subjected to unwanted business conversations on either side of our table.
870;Specialising in fish but the meat is excellent too. Quality food with top quality service. Not the cheapest but worth every penny for a special occasion (my wife's birthday this time). Would def recommend and would def go back.
871;Wiltons though expensive, may be the best dining that I have had. I'll be going back on my next visit to London.
872;The food tasted good, but the portions were TINY and WAY over priced. The dover sole still had bones left in it. Lobster for £55 was like the size of a starter. Will never go again.
873;An excellent lunch at this classic restaurant. The food was absolutely superb and without fault.
874;Highly recommmend this restaurant well known for its fish and game. The venison melted in my mouth. Excellent service, delicious wines ...what more could one ask for? Well, one thing, perhaps....i understand there doesnt need to be a formal dress code, but if you arrive in a suit and tie, out of respct and consideration for your fellow diners, it would be preferable if you maintain some decorum and don't roll up your shirtsleeves at dinner.
875;We had a good dinner with good service and food. The restaurant has a lovely decoration , the staff is nice and friendly. It is a good address for London.
876;Booked for my husbands 50th birthday. Really enjoyed it - smoked eel starter was sublime!! Really a treat. Advice on which wine to have was spot on. Service lovely & attentive. Not too much, not too little - just right.
877;Spent a very pleasant evening on 15 February for my husbands birthday. Food was excellent and service and attention to detail was fantastic. Real old world charm, would not hesitate to recommend.
878;We had a fantastic meal - The food was amazing. The staff knowledgable, polite and attentative (bordering on overly attentative). Very cosy setting with tables close together, so if you want a private conversation...It's probably not possible in the main area.
879;Excellence in every department, with a price tag to match.
880;Classy old style restaurant, serving traditional seafood . Good salmon and oysters selection. Trolley service also nice touch
881;I went here for a wedding anniversary dinner recently. It is a wonderful restaurant, full of character and history. The service is exceptional: attentive without being intrusive. The menu is fantastic for traditional British food: game (I had woodcock), fish, old classics such as prawn cocktail, smoked eel, lamb kidneys and bacon, omlets. Portion sizes are spot on and there is a good wine list. Will be returning.
882;Superb food in wonderful surroundings - a gem.Like Schwatzenegger, I will return.
883;My husband and I visiting from the United States on our honeymoon, and spent our first night in London enjoying dinner at Wilton's. Their food is unparalleled in our experience. The restaurant itself is lovely, warm and has great atmosphere. The staff were incredibly welcoming and professional. The food was a total knockout. My husband and I are certain that we will return to Wilton's as often as we can.
884;We celebrated my husbands birthday with lunch at Wilton's and had the most wonderful time at this iconic establishment. The food was traditional English at its best - perfectly cooked game, delicious oysters, feather-light Stilton soufflé - and the service was excellent. Although this was our first visit to Wilton's we felt like regulars being welcomed back. The atmosphere is a little like a gentlemens club - convivial and cosy. We can't wait to return to this st James institution - it's the perfect place for a special occasion meal.
885;First vist. Best meal of the week. Oozes quality. Food very good. Staff tremendous. Nice to eat somewhere not sat next somebody who deems crumpled tee shirt first choice in the restaurant wardrobe department.Long live Wilton's.
886;Reviews had given the impression of a place stuck in a time warp. But no. While it retains the good aspects of tradition -comfort and good (but not obsequious) service - Wilton's has moved into the 21st century. While traditionalists can still find the dishes they favour, we enjoyed a rather more modern take. We did have their traditional speciality - oysters (delicious) - but also a very tasty cod dish brought to life by a mustard sabayon and - best of all - the desserts. For me, a creamy, light crème caramel with raisins and a Sauternes jelly. Delicious! Even the coffee was excellent. While the set menu we had cost more than the average, it was well worth paying for the high quality. The waitress hoped we'd return - it's a certainty!
887;From arrival we were taken care of and thoroughly enjoyed our lunch. Each team member plays an integral part to ensure that the visit is enjoyed.
888;Wiltons is for those who appreciate fine food, beautifully served. The menu is extensive, and all ingredients are of the best. The food is simply cooked, but too perfection. Fish and shell fish are a speciality, and but meat and game and vegetarian are equally well treated. The wine list is to the same high standard.The service matches the food: highly civilized, yet not impersonal. All of this of course is not cheap, but it is a great treat.
889;An excellent restaurant well located with attentive and professional staff. Our party consisted of 3 people and was the first time we had visited the restaurant. We would certainly return on the basis of this visit. We had the set priced meal which offered excellent value with a good selection of choice . The food and service was excellent and the ambiance was particularly good. Although the restaurant was particularly busy on the night we visited the staff coped very well and we were still made to feel valued.This is a traditional restaurant with high standards. Well suited for business and social purposes.
890;It gives the aura of something special and indeed the staff on arrival gave the feeling the night was going to be very special. This was not to be a long wait cold soup and expensive mediocre food was the final result. We spent over 10 minutes watching our food on a holding table only to be told that it need to be reprepared and it would take a little while longer! The soup that was then served was as cold as my Oysters they were good (credit were credit is due) the only thing that arrived quickly was the drinks (water was replenished as soon as a glass was put down) and the check!
891;Excellent rock oysters and roast lamb from the trolley but this only came with roast potatoes. These were very good but a green vegetable was extra.
892;Great ambient and great food. Outstanding service that made together with the food and the ambient, the dinner experience an un-forgotable one.Will come back as soon as I'm in London again.
893;Fish excellent but overall expensive -a three course meal in a two Michelin starred restaurant would have been less expensive than our two course dinner
894;"True British dining; not too fussy, offering old style ambiance and service with a classic menu. It does not fall into the 'Michelin trap' of 'trying too hard'. Everything is 'just so'! Ambiance is formal yet relaxed. Service friendly but professional. Food prepared and presented just as it should be. You pay, but overall offering is good value. Wine List is overpriced; selection very good, but value is questionable. This is typical of many upmarket restaurants right now. Do try Wiltons. Locals will experience nostalgia, especially if they make it as far as the savouries. Overseas visitors will love it for its 'Britishness' and quality. If wine prices make your eyes water, don't worry; the cheapest are all good, so choose shamelessly !"
895;Wiltons has been around for ages. For a reason. It is bloody good. We had a wonderful lunch with the freshest of oysters, a Lovely game and foie gras pie and a perfect sticky toffee pudding. With two glasses of champagne and a bottle of sparkling water. Bill: 60 GBP for two. How could anybody say nought else but: jolly good show. Keep on doing it!
896;Some people seem to think the service can be a bit much but we thought it was brilliant. Food was beautifully done and delicious. Wine, while pricey, was also excellent. I don't like to go back to too many restaurants as there are so many to try in London but this may be an exception.
897;extraordinary highly recommend for oyster and Trolley
898;This is such a brilliant example of Britishness. Although ties are no longer required Wiltons is still very posh and the service is just as it should be, outstanding. We had a lovely meal with excellent Wine and there was no hesitation to change our meal when we decided to change our mind.
899;The restaurant has the feel of history-- a lovely feeling in the current speeded and noisy restaurant scene. We had Dover Sole and must say that it was not up to J Sheekey--but who could be?
900;Wilton's is a London classic but that does not mean it is always brilliant. The food can at times fail to live up to expectations and standards and the service, especially when it comes to topping up your water and wine glasses, can be a little over enthusiastic and annoying. Yet for all this it remains one of a kind in the London restaurant scene.
901;I hadn't realised there was a no open toe rule so luckily I was wearing boots. What a lovely experience, we had a great time.
902;Great service, very attentive, just how it should be. Food choice very good and cooked to perfection. My only critique would be the price of the sweets, all priced at £10 each for simple recepes!
903;Great food and service. Quality was excellent.
904;Wilton's gets all the basics right. The room is rather formal yet cozy, while the staff is attentive without being intrusive. This was my third visit and the food has been terrific each time.
905;Lobter thermidor is superb and a must try.
906;Chose Wiltons for the final dinner after a long tour of Europe. There were four tired travelers and we were treated like royals in every way. Loved the Dover Sole. We felt the price was supported by the wonderful service, food, and ambiance.
907;My wife and I had a wonderful dinner at Wilton's. Beautiful interior with smaller rooms for an intimate atmosphere. The wait staff were attentive, knowledgable and engaging, which made the meal enjoyable, and the food certainly lived up to our expectations. My wife had the carving tray of the day and I had the lamp cutlets. Both were outstanding. The sides, green beans and roasted potatoes, we're perfectly done. The Blackberry Soufflé with Cinnamon Ice Cream was outstanding. As a note, regardless of the dress noted on their web site, most men were in ties. I was glad we were dressed for the evening, and the restaurant was full mid-week with many, well-dressed locals. Always a good sign for your choice of restaurant.
908;"On Jermyn Street, well-known for traditional English shirt-makers, this restaurant is as traditional as it gets. Be transported a few centuires back. The food is very good though. I wouldn't go ""private"", but it's perfect for a business lunch if you want a quiet place where you can actually hear what your guest is saying to you."
909;Excellent food, great atmosphere,super service, can't fault them.
910;"I took my wife & father-in-law the other night. Leaving Wiltons with a hefty bill in my hand, my wife whispered, ""How much was that?"". Well, we'd had three courses - drinks to start, a bottle of wine, etc. - and it had come to just under £300. ""Wow,"" came the answer. But it didn't need much defending. We could have spent half of that at an ok restaurant. We could have spent £100 just going to Pizza Express. But the food we had at Wiltons was so staggeringly awesome, so understatedly & professionally presented, it was not only a far superior experience, but a thousand times better value. The bisque was the best I've ever had, the venison the best I've ever had, and the chocolate fondant too. The mango sorbet was simply sublime."
911;This is the classic venue for British food at its very best. Service is outstanding and each course presented superbly. The seafood and game, the latter now in season, are quite delicious. Highly recommended restaurant for the discerning food lover.
912;Simply amazing. Will go back very soon.
913;Walking into Wiltons was like stepping back in time - in a good, don't change a thing sort of way. Faultless service. We had the £32 set menu which offered a couple of choices and a glass of bubbly. The smoked venison was perfect and the pigs cheek sublime and dauphinoise so unashamedly naughty I had to eat it all! A perfect soufflé flowed by dainty petit fours rounded off one of the best meals I have had for a while. Of course with an eyewateringly pricey wine list the final bill was a far cry from £32 but by the time the bill came we didn't care. Good stuff Wiltons. We will be back.
914;"Wilton's is for us ""going home"" in London. The experience of dining there is unsurpassed. I would not change a thing."
915;Excellent service by friendly polite professional staff. Food presentation was found to be outstanding. I would recommend this venue for something special or to complete a theatre night out.
916;I shan't repeat my previous musings on this place as it is a staple of excellent service, clubby ambiance and delicious food. However the Summer Menu available for both lunch and dinner - 3 courses £32 is absolutely worth taking advantage of while it lasts.
917;Everything about Wiltons puts it in a class of its own. Of course it's expensive, but the TT offer is excellent value.
918;The staff in Wiltons are literally unbelievable. They make the restaurant what it is. Extremely charming and very attentive without being intrusive. I felt things were a little rushed but the food was superb and the setting amazing!
919;We visited this retaurant, which would normally be far too expensive, on a special offer. The service was excellent, the menu for the special offer had four really interesting and delicious options for each course (normally restaurant's offers do not give you as many delicious options), and when served the food was par excellence. One of our friends had a birthday and this was a wonderful way of celebrating with her, it couldn't have been better.
920;A friend and I took advantage of the summer set menu special offer (£28 for 2 courses and a cocktail, £32 for three). The service was exceptional from the moment we entered and we were never made to feel uncomfortable/inferior for being on the cheap option even though many other diners were clearly regulars. Food was perfectly cooked and there was a reasonable amount of choice on the set menu. We'll be back!
921;Cannot find a thing to complain about.
922;"Succumbed to the blandishments of a fixed price lunch: only to find that the accompaniments (mixed salad, chips, & 2 coffees) increased the price hugely. The addition of 12 1/2% service is also to be reckoned with in a ""fixed price"" offer"
923;Excellent food and all the staff were very friendly and helpful.
924;Wiltons has always been a favorite of ours, as always it was excellent.
925;Great food and service. Although we did the 2 course top table deal we ended up spending a lot more money as we couldn't resist the oysters, sides and wine list
926;"Everything as it should be - linen , table settings etc . Delightful staff and a bit of a "" family "" feeling to the place which has to be a credit to the family who are still behind the place after so many years .Wine list on the expensive side but the quality of the wines was top class so one can't complain .A very pleasurable experience ."
927;Whilst being cosy and intimate, the tables were set so that one could discuss business in a comfortable manner.
928;High standard British traditional dining experience. Excellent atmosphere and excellent food. Service was too rushed, especially on a summer night with vacant tables. Our quiet advice to waiter that we will advise him when we decide and desire to order separate courses worked well instead of vice versa. We have enjoyed Wilton's for the last 15 years and will return.
929;There's something really relaxing about the venue, the staff are ultra professional but warm, and the food excellent - it avoids food pyrotechnics and focuses on doing every dish extremely well - always a good balance of flavours. We went on the summer menu - which we were told changes every week and is on for the remainder of the summer. This is good value at £32 for 3 courses and a bellini but you'll end up spending more because you'll probably want a couple of sides with the main courses (the sides were excellent - rich, pureed peas, gratin dauphinoise and a delicious tomato salad). I went with my girlfriend on a warm summer's day but the air conditioning was set just right, nice and cooling without being too cold. All in all excellent.
930;Delightful evening at Wiltons. Recommend the scallops and the raspberry soufflé with lemon curd ice cream. Very expensive but sitting in one of the booths with an old friend is special. Excellent service
931;It was a perfect dining experience--fresh, delicious food, artfully prepared and served, in a quiet atmosphere. Staff were exceptionally attentive without being intrusive. Just perfect for American and British friends celebrating our time together.
932;I can't get enough of this venue. just amazing food. During this visit i ordered Oyster for my starter and Omelette for my main course and it was superb. The mash potatoes with truffle is to die for. slightly pricey but really love the place it's amazing.
933;As usual Wiltons was up to its normal standards, the service and friendliness of the staff were excellent and the food of good quality.
934;Think we dropped the average age by about 20 years and clearly full of a lot of regulars but that I think just sets this place apart and is its charm.Fantastic food and lovely service and the world rather slows down once you walk through the door which can only be a good thing
935;"With the ambience of a traditional private club, beautifully decorated, impeccable service and classic british food, Wilton's really is a treat. Unfortunately, not being landed gentry, the a la carte menu is a bit out of my price range, however the pre-theatre menu (5:30 - 6:30pm) is pretty reasonable. You are treated with respect and courteousness no matter what you are planning to spend. Consommé to start followed by chicken; all of a quality you would expect. The cheeseboard was a treat - the trolley comes to your table and the selection is absolutely British - cheddars, blues and goats cheeses. Perfect!"
936;Absolutely fantastic at a price that is commensurate to it's high standards
937;It is one of those places where you have always meant to visit and now nearly 70 I did.It is what a resturant should be - well prepared food with service to match, quiet and calm enough to be able to hold a conversation without screaming to be heard - it might just be an age thing - not cutting edge - dried seaweed on a foam of something undigestable - but this is what dining out should be like
938;"A very traditional restaurant, but a little gem of a place tucked away in Jermyn Street. The ambiance is a bit ""old school"" and the clientele aged 50+, and indeed there were several grandfathers and possibly great-grandfathers dining! Has the feel of a gentleman's club and a bit ""pipe and slippers"", but I have to say that despite this, I enjoyed the experience. The service was outstanding, the staff courteous, and the seafood well prepared. Where it falls down is on value. Portion size is small for the price, and I think Scotts and J Sheekey offer slightly more value in the way of quality seafood."
939;food excellent, glass of Chablis & Bordeaux was good, had the fixed price lunch - very good value
940;Everything about Wiltons is good. Excellent menu with many choices, good wine list, attentive service, quiet atmosphere.Always try to go on a visit to London
941;Wiltons is great, the food is extremely well cooked if unoriginal, the cadre is elegant and lovely, the service attentive. It gets minus points for engaging in that disagreeable modern practice of waiters filling your glasses at every possible moment and coping not as smoothly and efficiently as expected when full. It is also a bit too expensive for what it serves. Overall however a piece of old England that needs to be preserved and nurtured.
942;We really enjoyed dining at Wilton's. Food, service, ambiance were excellent and among the best we're ever experienced. Many thanks to the staff who made our experience that much more enjoyable.
943;Impressive dining room and service, however food was a little basic but cooked very well
944;"Must have eaten here 50+ times & never been disappointed. Service always exceptional, food delicious tho never ""high flown"" - thank goodness. This is my favourite restaurant, ideal for the over 50s who want to eat well, in comfort with good acoustics & marvellous staff"
945;"Wiltons is my favorite restaurant in the world. My only regret is that it's closed weekends, so I have to arrange London visits to be there on a Friday night. Superb food, ridiculous levels of service (lavish but not obseqious). My only ambition is to be the object of a conversation between the maitre d' and a client taht I overheard while waiting for my table this Friday night: ""for you, Mrs. __________ there is always a table available at Wilton's."""
946;Fast service, good english food, very nice traditional atmosphere.
947;You can use too many words to say a simple fact - Wilton's has remained at the top of the tree for many years for good reason - the food, service, ambience, wine are all excellent. Nothing more to say, really - it was lovely and memorable.
948;One of the best restaurants in London in many ways. It was our second visit this year and we will return soon!PS: Never leave the wonderful desserts untouched!
949;Loved the food and the service was great!
950;Everything you would hope for in an elegant, English restaurant. Wonderful, warm service, excellent local faire in a gracious, traditional setting.
951;The ambience at Wilton's is akin to a Gentleman’s Club. The menu is sufficiently extensive and the quality of the food is excellent. But the service is among the best that I have experienced. Attention to detail is clearly important to Wilton’s.I and my colleague were first seated at a banquette, which I particularly dislike. On asking if it would be possible to move to a table with two chairs we were immediately taken to another table. The change was effected with great good grace and simple, quiet efficiency.The only downside to Wilton’s is the eye watering size of the bill. The set menu, however, gives much better value for money.I am pleased to highly recommend this restaurant.
952;atmosphere....good food...good wine....good service
953;It remains my favorite restaurant in London. The food and service are second to none!
954;Lovely, intimate and small - get a booth!
955;Lunch with an old friend and colleague... Excellent fish as always, good wines, first class unobtrusive service, all qualities and values unchanged for many years
956;We had dinner with business associates on Friday night and thoroughly enjoyed our evening. The food and wine were delicious and the service was excellent: personable, professional, friendly but not intrusive.
957;Most selections excellent, especially watercress beet goat cheese salad. Elegant place.
958;Food and service top class. Huge mark up on wines is the only downer.
959;Great food, great venue.. The food was fresh and the service was good and attentive. I would return again when i am in the area. I really loved the mashed potatoes with truffles it was very tasty.I can't wait to visit again to try out their dessert menu.
960;It is impossible to fault Wilton's at the moment – everything was just perfect – especially the food and service (including the sommelier who was very responsive and imaginative). We had the sole which was probably the best sole I’ve eaten – ever.
961;This restaurant was recommended to us by people we met on holiday, who have been going to Wiltons for years. It was an absolute treat. We had the set menu as it included what we were going to choose anyway. We had the recommendation of the day which was a russian salmon dish encased in pastry, which came with lovely veg and my Husband said the best ever potatoes, it was simply outstanding. Included in the set menu was 3 courses and 2 glasses of wine, which was exceptional value for money.Definitely will go back.
962;I'd prefer to say genteel, the service and ambience could be miscontrued as a bit stuffy. The food is really prepared and served well, our all seafood dishes were done just perfectly!
963;First time to Wiltons and it won't be my last. The staff were very attentive. I requested to move to a more private table for a business lunch and they were more than accommodating. The food was brilliant and could not be faulted. A wonderful experience.
964;We thoroughly enjoyed our meal at Wiltons. The food and service was excellent and special attention was given to one of our party who had special dietory requirements. We look forward to dining at Wiltons in the nearer future
965;excellent fresh sea food served in traditional surroundings - service very good
966;You know where you stand with Wiltons. Great food, and excellent service. It's pretty expensive - but worth it for special occasions. I'll be back for sure
967;"With its wood panelled walls, trolley service and pinafore wearing staff, Wiltons' clubby vibe may not be to everyone's tastes but, if you are looking for a suitably grand, ""old school"" venue in the West End, it fits the bill perfectly. The average age of our dining companions was 65+ but I viewed that as testament to the enduring appeal of the venue as opposed to a damning indication of their ability to attract a younger demographic. All in all, a good find."
968;We highly recommend Wiltons for a night out in London. Looking forwardfor our next trip to London.
969;Nice to visit a restaurant with truly traditional values.
970;The food here was amazing, and the staff could not have been friendlier. We had the taster menu, which apparently they only ran because we had requested it specifically (we were in the middle of the Olympics). Definitely agree with other reviewers that this felt like a throwback to the British Colonial days - you could imagine the other diners making decisions of national importance over their beef. Bit old fashioned, but charming and we had a great meal.
971;Lovely and fresh, but expensive
972;"We arrived on time for our 7 p.m. reservation and found we were starting unfashionably early. However, we received very attentive service throughout the evening, and by the time we left, the place was full. No sophisticated diners will find menu choices to be surprising or new; however, the preparation and quality of the food could not be faulted. Particularly good were the appetizer terrine of fois gras, and dover sole. It was an expensive but lovely dinner."
973;This was supposed to be a nice restaurant but we thought that our seafood entrees werelacking flavor. It seemed as if they rushed our order. The wine list couldbe improved by adding some California cabs. The wine list had an abundance ofmediocre French merlots and whites many of which were way overpriced for theirquality. The service was attentive but the entire restaurant was overheated to thetemperature of 26 degrees Celsius. Not the best environment for an expensive dinner.
974;This was the first of many visits. We just loved the outstanding service, food and surroundings.
975;Excellent food and services again.  It was a small dinner celebration for my wife's birthday, and the waiters are so friendly that my wife was truly impressed.
976;We had an intimate dinner for two at Wiltons on Jermyn Street to celebrate my b-day. Everything was amazing. Service, food, environment!!! Strongly, strongly recommended for an traditional dinner in the heart of Mayfair. Note: Jacket required.
977;A superb venue, exemplary service, and utterly delicious food.  Nice glass of chilled champagne on the TT deal.  Good selection of wines (not cheap - £62 for an excellent SA White.  Charming staff who really do make you feel special.  We would not hesitate to return and this will become one of our regular haunts.  Our guests really loved it and they did a special plate to celebrate a birthday and anniversary.  It is not cheap - but worth every penny.  Excellent.
978;Exceptional food and service
